disease,predictor,posterior_mean_beta,posterior_median_beta,beta_2.5,beta_97.5,IRR_mean,IRR_median,IRR_2.5,IRR_97.5,P_beta_gt_0,significant_95
htn,ndvi,0.1097796753014334,0.1125720722849806,-0.2869577551648382,0.5148015680607506,1.1401740930044344,1.1191529177296995,0.7505434347817478,1.673306433320359,0.70275,no
htn,nlr,0.2424396074892084,0.2357563285146272,-0.2736388802134324,0.80565261683377,1.3248019319155326,1.265865817403472,0.7606066962384508,2.2381566816362186,0.810875,no
htn,no2,0.4380176813979864,0.4371476347752188,0.1693215034416888,0.71187486046691,1.5650064738191358,1.5482846424337688,1.1845008992779005,2.037808285569806,0.99925,yes
cvd,ndvi,-0.1413154298745152,-0.1413406067444167,-0.6805243231045225,0.3843413690182937,0.9009459689874982,0.8681935494820702,0.5063514340913848,1.4686467081737542,0.30325,no
cvd,nlr,-0.2361120239223596,-0.2416528309457443,-0.8287859953717992,0.3927261866200694,0.8285484760811221,0.7853287721714478,0.4365789795406324,1.481012813340545,0.214875,no
cvd,no2,0.1725656848216637,0.1734299087916076,-0.2126115494317723,0.5439254533767661,1.2104981487355246,1.1893773189553325,0.8084701270095337,1.7227562189842809,0.815625,no
dm,ndvi,0.22904808141183,0.2282664112267616,-0.1539533305205145,0.6118932894736865,1.281533091276668,1.256420005249821,0.85731203329644,1.843919169125624,0.88175,no
dm,nlr,0.0110994098033007,0.0069159633196296,-0.4625161875253891,0.5037625270476237,1.0430744806419214,1.006939937114059,0.6296972142974672,1.654936313917101,0.51025,no
dm,no2,0.3438603104975422,0.3428410304981485,0.0505082704705062,0.6249190644169628,1.4255379643063284,1.40894476506101,1.051805562271643,1.8680947560610035,0.989375,yes
