disease,predictor,beta,se,p_value,IRR,IRR_2.5,IRR_97.5,significant_95
htn,ndvi,-0.05108036134742622,0.036114763820903464,0.15724742015632331,0.9502023079263746,0.8852676074025378,1.0198999923173067,no
htn,nlr,-0.9148437249324977,0.04506272989801423,1.2456641530576114e-91,0.4005792217445396,0.3667163289176518,0.4375690424450502,yes
htn,no2,0.854234297842267,0.03968415403937029,8.921148382824426e-103,2.349574617267315,2.1737490636329246,2.539621971305462,yes
cvd,ndvi,-0.08546368703790619,0.051837889092112226,0.09921480690827915,0.9180864808884368,0.829389036658023,1.0162695057876137,no
cvd,nlr,-0.9504526261019218,0.06392807935130652,5.355308190838393e-50,0.38656601398251716,0.3410413112654092,0.43816768886992086,yes
cvd,no2,0.7800559057079515,0.056793631022515084,6.272642831266984e-43,2.181594225658683,1.951777291287694,2.4384715339562657,yes
dm,ndvi,0.04225137813183277,0.04083322269915502,0.3007948201677544,1.0431566725700459,0.9629230871305584,1.1300755564705542,no
dm,nlr,-0.8411252831434353,0.04933316871529018,3.5016945552935496e-65,0.4312250000810743,0.39148100085870063,0.4750038961968432,yes
dm,no2,0.7928662035977099,0.04292939651498029,3.663134786978902e-76,2.209720868259593,2.031398732213985,2.4036966441837744,yes
