disease,scenario,lga_canonical,cases_status_quo_mean,cases_scenario_mean,cases_avoided_median,cases_avoided_mean,cases_avoided_2.5,cases_avoided_97.5,P_avoided_gt_0,significant_95
htn,status_quo,Agege,16.246422723514982,16.246422723514982,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Ajeromi/Ifelodun,0.15058487905597442,0.15058487905597442,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Alimosho,56.4086937854494,56.4086937854494,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Amuwo Odofin,3.1680792849498514,3.1680792849498514,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Apapa,1.9215916425278055,1.9215916425278055,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Badagry,1.3511972004078496,1.3511972004078496,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Epe,0.8884699038114446,0.8884699038114446,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Eti Osa,8.045648177478807,8.045648177478807,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Ibeju Lekki,0.2345107528262688,0.2345107528262688,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Ifako/Ijaye,28.020465620803503,28.020465620803503,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Ikeja,29.01520838454784,29.01520838454784,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Ikorodu,26.073294319534057,26.073294319534057,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Kosofe,19.47803486694424,19.47803486694424,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Lagos Island,1.267391186270817,1.267391186270817,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Lagos Mainland,3.7545242133356824,3.7545242133356824,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Mushin,5.62614479527368,5.62614479527368,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Ojo,12.714324382633926,12.714324382633926,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Oshodi/Isolo,15.819828237543549,15.819828237543549,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Shomolu,7.907941817708621,7.907941817708621,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,Surulere,6.494522447338373,6.494522447338373,0.0,0.0,0.0,0.0,0.0,no
htn,status_quo,LAGOS STATE,244.58687862195669,244.58687862195669,0.0,0.0,0.0,0.0,0.0,no
htn,no2_minus_10,Agege,16.246422723514982,13.620913423075628,2.270370619030227,2.6255093004393566,0.32289215888747375,7.040205358467197,0.996,yes
htn,no2_minus_10,Ajeromi/Ifelodun,0.15058487905597442,0.13594928549808094,0.009961615521052458,0.014635593557893506,0.0005909783500618847,0.06242598594131507,0.996,yes
htn,no2_minus_10,Alimosho,56.4086937854494,49.84279539352634,5.583761704643482,6.565898391923065,0.8489963789694853,16.48986493036957,0.996,yes
htn,no2_minus_10,Amuwo Odofin,3.1680792849498514,2.912738148802071,0.21948173696979778,0.25534113614778076,0.03093495478545163,0.6856582085572617,0.996,yes
htn,no2_minus_10,Apapa,1.9215916425278055,1.7034467408876894,0.18583438229607085,0.21814490164011613,0.0257517361233964,0.580353904301195,0.996,yes
htn,no2_minus_10,Badagry,1.3511972004078496,1.2884918770971994,0.05243221284573496,0.06270532331064992,0.007429529339146574,0.17296992803200437,0.996,yes
htn,no2_minus_10,Epe,0.8884699038114446,0.8335788340899837,0.04473798913421817,0.05489106972146093,0.006608518769546656,0.16356759983959637,0.996,yes
htn,no2_minus_10,Eti Osa,8.045648177478807,7.3051681036833225,0.6437121107220984,0.7404800737954841,0.10525060644047772,1.812897836224208,0.996,yes
htn,no2_minus_10,Ibeju Lekki,0.2345107528262688,0.22218902274915725,0.008956389922405217,0.01232173007711154,0.0011161619539436223,0.042979953822935874,0.996,yes
htn,no2_minus_10,Ifako/Ijaye,28.020465620803503,24.283641088081705,3.253433934595641,3.736824532721791,0.513976811412632,9.31579921167596,0.996,yes
htn,no2_minus_10,Ikeja,29.01520838454784,24.3414045668164,4.130305993305157,4.67380381773144,0.6584064817959692,11.730680030947951,0.996,yes
htn,no2_minus_10,Ikorodu,26.073294319534057,23.386257894520778,2.322362903532383,2.687036425013278,0.3532863216759166,6.686048588480478,0.996,yes
htn,no2_minus_10,Kosofe,19.47803486694424,16.50940405867962,2.5679882472904625,2.9686308082646184,0.35934496316708836,7.608539107558558,0.996,yes
htn,no2_minus_10,Lagos Island,1.267391186270817,1.118592695535035,0.12185775865500587,0.14879849073578205,0.016857349795654012,0.39401556150487554,0.996,yes
htn,no2_minus_10,Lagos Mainland,3.7545242133356824,3.2264377002566946,0.4426654977196518,0.5280865130789877,0.06493306720691493,1.405896577549783,0.996,yes
htn,no2_minus_10,Mushin,5.62614479527368,4.732686830708151,0.7400670759302854,0.8934579645655285,0.11809330246912803,2.3317001203872603,0.996,yes
htn,no2_minus_10,Ojo,12.714324382633926,11.854807079192325,0.716796097078169,0.8595173034415997,0.10417756227194147,2.192298460822377,0.996,yes
htn,no2_minus_10,Oshodi/Isolo,15.819828237543549,13.650254993388277,1.87202172643384,2.1695732441552713,0.3005459764512759,5.492966799701568,0.996,yes
htn,no2_minus_10,Shomolu,7.907941817708621,6.609469828090702,1.0944037282652141,1.2984719896179193,0.16435844373393635,3.450725884837234,0.996,yes
htn,no2_minus_10,Surulere,6.494522447338373,5.679230301078327,0.7169606418603793,0.815292146260048,0.10865971111714649,2.126437150344485,0.996,yes
htn,no2_minus_10,LAGOS STATE,244.58687862195669,213.25745786575746,26.772060377090547,31.329420756199184,4.124255442442114,79.6907185252777,0.996,yes
