disease,predictor,posterior_mean_beta,posterior_median_beta,beta_2.5,beta_97.5,IRR_mean,IRR_median,IRR_2.5,IRR_97.5,P_beta_gt_0,significant_95
htn,ndvi,0.10977967530143343,0.1125720722849806,-0.28695775516483824,0.5148015680607506,1.1401740930044344,1.1191529177296995,0.7505434347817478,1.6733064333203593,0.70275,no
htn,nlr,0.24243960748920843,0.2357563285146272,-0.27363888021343247,0.80565261683377,1.3248019319155326,1.265865817403472,0.7606066962384508,2.2381566816362186,0.810875,no
htn,no2,0.43801768139798647,0.43714763477521884,0.16932150344168884,0.71187486046691,1.5650064738191358,1.5482846424337688,1.1845008992779005,2.037808285569806,0.99925,yes
